env,k,elapse,profit
1,2,128,2731.05
1,2,128,2352.325
1,2,128,2699.675
1,2,128,2140.05
1,2,128,1906.575
1,2,128,1883.925
1,2,128,2761.6
1,2,128,2590.5
1,2,128,2093.525
1,2,128,2482.15
1,2,128,2034.85
1,2,128,1803.3
1,2,128,2392.975
1,2,128,1747.75
1,2,128,2165.425
1,2,128,2544.625
1,2,128,2259.9
1,2,128,1745.375
1,2,128,1999.6
1,2,128,2637.2
1,2,128,2261.525
1,2,128,3050.7
1,2,128,2934.325
1,2,128,1707.225
1,2,128,2283.55
1,2,128,2563.3
1,2,128,1832.45
1,2,128,1413.85
1,2,128,2441.05
1,2,128,2371.45
1,2,128,1920.9
1,2,256,2680.175
1,2,256,2546.725
1,2,256,2131.45
1,2,256,2367.125
1,2,256,2557.0
1,2,256,2071.575
1,2,256,2537.25
1,2,256,1963.425
1,2,256,2805.15
1,2,256,2009.65
1,2,256,2549.425
1,2,256,2606.725
1,2,256,1847.4
1,2,256,2749.6
1,2,256,3301.75
1,2,256,3420.0
1,2,256,2198.575
1,2,256,2798.6
1,2,256,2472.55
1,2,256,2655.025
1,2,256,2632.625
1,2,256,2633.5
1,2,256,2448.15
1,2,256,1860.0
1,2,256,2426.95
1,2,256,2736.225
1,2,256,1598.55
1,2,256,2393.95
1,2,256,1970.1
1,2,256,1673.125
1,2,256,2131.5
1,2,256,1978.9
1,2,256,2727.85
1,2,256,2778.375
1,2,256,2087.075
1,2,256,2491.95
1,2,256,1800.925
1,2,256,2734.1
1,2,256,1849.125
1,2,256,2293.0
1,2,256,2600.7
1,2,256,2344.825
1,2,256,1716.575
1,2,256,2161.0
1,2,256,1906.45
1,2,256,2728.175
1,2,256,1602.8
1,2,256,2906.125
1,2,256,2047.15
1,2,256,1736.675
1,3,32,1902.075
1,3,32,2152.775
1,3,32,2212.075
1,3,32,2565.1
1,3,32,1931.75
1,3,32,3151.975
1,3,32,3022.475
1,3,32,2109.875
1,3,32,2089.825
1,3,32,2821.725
1,3,32,2205.825
1,3,32,2248.075
1,3,32,1706.45
1,3,32,1771.825
1,3,32,2346.325
1,3,32,2335.45
1,3,32,2291.475
1,3,32,1751.925
1,3,32,2019.75
1,3,32,1427.125
1,3,32,2510.425
1,3,32,3461.9
1,3,32,2595.5
1,3,32,2350.5
1,3,32,1480.4
1,3,32,2538.0
1,3,32,2309.825
1,3,32,2270.825
1,3,32,2406.975
1,3,32,2119.4
1,3,32,2396.875
1,3,32,2727.8
1,3,32,1779.4
1,3,32,2258.1
1,3,32,2037.95
1,3,32,2809.925
1,3,32,2312.375
1,3,32,2349.975
1,3,32,1953.2
1,3,32,2791.125
1,3,32,1914.675
1,3,32,2060.425
1,3,32,2323.1
1,3,32,2858.35
1,3,32,1986.875
1,3,32,2097.05
1,3,32,2610.4
1,3,32,2163.875
1,3,32,2557.375
1,3,32,1900.525
1,3,64,2065.75
1,3,64,2995.375
1,3,64,3324.475
1,3,64,2313.4
1,3,64,2763.425
1,3,64,2033.525
1,3,64,2318.525
1,3,64,2720.825
1,3,64,2105.625
1,3,64,2366.5
1,3,64,2226.975
1,3,64,2055.975
1,3,64,1641.025
1,3,64,1896.85
1,3,64,1982.775
1,3,64,2157.45
1,3,64,2584.175
1,3,64,2420.0
1,3,64,2081.125
1,3,64,2554.4
1,3,64,2206.475
1,3,64,2019.225
1,3,64,2648.4
1,3,64,1681.875
1,3,64,2658.2
1,3,64,2528.775
1,3,64,3573.675
1,3,64,2773.125
1,3,64,1977.825
1,3,64,1975.8
1,3,64,1698.425
1,3,64,2527.8
1,3,64,2334.15
1,3,64,2956.05
1,3,64,3062.45
1,3,64,3001.825
1,3,64,2143.425
1,3,64,1907.65
1,3,64,2737.95
1,3,64,2353.9
1,3,64,2107.275
1,3,64,2477.625
1,3,64,1875.675
1,3,64,1951.025
1,3,64,2150.25
1,3,64,1768.5
1,3,64,2617.95
1,3,64,2429.125
1,3,64,1915.85
1,3,64,1907.25
1,3,128,2568.05
1,3,128,2412.375
1,3,128,3124.1
1,3,128,2844.4
1,3,128,2029.575
1,3,128,2425.2
1,3,128,1885.8
1,3,128,2220.475
1,3,128,1871.375
1,3,128,1617.075
1,3,128,2134.225
1,3,128,2099.2
1,3,128,2624.7
1,3,128,2446.625
1,3,128,2877.075
1,3,128,2450.025
1,3,128,2553.45
1,3,128,1944.7
1,3,128,2545.95
1,3,128,2559.2
1,3,128,2228.575
1,3,128,2587.2
1,3,128,2635.9
1,3,128,2304.8
1,3,128,2344.05
1,3,128,2441.825
1,3,128,2102.175
1,3,128,2014.95
1,3,128,2757.575
1,3,128,1819.425
1,3,128,2297.225
1,3,128,2869.45
1,3,128,2739.05
1,3,128,1994.55
1,3,128,1721.775
1,3,128,2494.575
1,3,128,2120.725
1,3,128,2081.425
1,3,128,2405.4
1,3,128,1948.9
1,3,128,2000.3
1,3,128,1733.35
1,3,128,2593.85
1,3,128,1964.95
1,3,128,2465.2
1,3,128,1706.9
1,3,128,2457.375
1,3,128,2340.6
1,3,128,2243.15
1,3,128,3091.925
1,3,256,3248.35
1,3,256,2295.45
1,3,256,2079.525
1,3,256,2055.15
1,3,256,2553.225
1,3,256,2465.9
1,3,256,2199.525
1,3,256,2052.45
1,3,256,2879.05
1,3,256,2541.275
1,3,256,2302.475
1,3,256,2495.75
1,3,256,1804.8
1,3,256,2583.075
1,3,256,2110.5
1,3,256,1654.55
1,3,256,1987.175
1,3,256,1650.525
1,3,256,2871.075
1,3,256,2034.425
1,3,256,2301.675
1,3,256,1709.05
1,3,256,2767.85
1,3,256,1790.1
1,3,256,2291.65
1,3,256,2396.05
1,3,256,2389.8
1,3,256,2288.45
1,3,256,2426.5
1,3,256,3139.8
1,3,256,2448.575
1,3,256,1758.575
1,3,256,2153.5
1,3,256,2243.9
1,3,256,1903.55
1,3,256,2898.05
1,3,256,1790.55
1,3,256,1877.1
1,3,256,2386.75
1,3,256,1508.975
1,3,256,3413.5
1,3,256,2661.975
1,3,256,2430.575
1,3,256,2197.45
1,3,256,1553.8
1,3,256,2951.225
1,3,256,1863.625
1,3,256,2780.4
1,3,256,2486.9
1,3,256,1918.975
1,4,32,1766.675
1,4,32,1816.5
1,4,32,1965.35
1,4,32,1447.35
1,4,32,2344.8
1,4,32,2219.15
1,4,32,2064.75
1,4,32,2229.325
1,4,32,2042.8
1,4,32,2618.775
1,4,32,3125.7
1,4,32,2937.525
1,4,32,2101.525
1,4,32,2159.85
1,4,32,1882.275
1,4,32,2489.425
1,4,32,2668.0
1,4,32,2858.45
1,4,32,2812.975
1,4,32,2047.75
1,4,32,1820.1
1,4,32,1938.15
1,4,32,1996.15
1,4,32,2132.1
1,4,32,1680.35
1,4,32,2137.325
1,4,32,2400.7
1,4,32,2011.7
1,4,32,1750.55
1,4,32,2377.2
1,4,32,2058.0
1,4,32,1787.275
1,4,32,2243.65
1,4,32,3058.275
1,4,32,3229.75
1,4,32,2665.075
1,4,32,2275.1
1,4,32,1880.5
1,4,32,2976.175
1,4,32,2902.725
1,4,32,1689.775
1,4,32,1891.925
1,4,32,2449.425
1,4,32,2270.95
1,4,32,2424.15
1,4,32,1769.8
1,4,32,1891.725
1,4,32,2073.525
1,4,32,1816.525
1,4,32,1574.7
1,4,64,2122.625
1,4,64,3222.075
1,4,64,2007.4
1,4,64,1925.95
1,4,64,1234.425
1,4,64,1421.075
1,4,64,2419.75
1,4,64,2274.225
1,4,64,2343.125
1,4,64,2243.1
1,4,64,2775.15
1,4,64,2008.575
1,4,64,1987.5
1,4,64,3132.25
1,4,64,2237.725
1,4,64,1845.675
1,4,64,1674.525
1,4,64,2659.95
1,4,64,2196.025
1,4,64,2674.925
1,4,64,2348.05
1,4,64,3042.975
1,4,64,2516.4
1,4,64,2231.2
1,4,64,2654.05
1,4,64,2777.2
1,4,64,2097.4
1,4,64,2227.45
1,4,64,2529.275
1,4,64,2186.125
1,4,64,2048.375
1,4,64,2143.85
1,4,64,1717.575
1,4,64,2357.425
1,4,64,1968.15
1,4,64,2421.275
1,4,64,2251.925
1,4,64,2412.725
1,4,64,2327.3
1,4,64,2422.375
1,4,64,1913.35
1,4,64,2076.65
1,4,64,2563.375
1,4,64,1699.325
1,4,64,3223.775
1,4,64,2331.3
1,4,64,2808.425
1,4,64,2380.775
1,4,64,2832.325
1,4,64,2539.55
1,4,128,2746.825
1,4,128,2489.925
1,4,128,2227.8
1,4,128,1526.625
1,4,128,1932.725
1,4,128,2048.0
1,4,128,3093.7
1,4,128,2428.225
1,4,128,1820.05
1,4,128,1878.875
1,4,128,1834.975
1,4,128,2117.0
1,4,128,2532.4
1,4,128,2650.025
1,4,128,2452.1
1,4,128,3002.125
1,4,128,2530.575
1,4,128,939.625
1,4,128,2160.6
1,4,128,3153.35
1,4,128,1923.025
1,4,128,2594.475
1,4,128,2367.125
1,4,128,1741.35
1,4,128,1998.325
1,4,128,2916.3
1,4,128,2188.1
1,4,128,2429.4
1,4,128,1540.45
1,4,128,2268.1
1,4,128,1931.5
1,4,128,2433.725
1,4,128,1803.475
1,4,128,2283.5
1,4,128,2258.5
1,4,128,2063.15
1,4,128,3569.85
1,4,128,3528.1
1,4,128,2016.5
1,4,128,2310.225
1,4,128,2000.775
1,4,128,1787.55
1,4,128,3068.0
1,4,128,2098.4
1,4,128,2516.8
1,4,128,2417.975
1,4,128,2059.65
1,4,128,2066.05
1,4,128,1475.875
1,4,128,1356.35
1,4,256,1830.225
1,4,256,1665.85
1,4,256,2811.7
1,4,256,2108.2
